molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL2311726,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ncco1)c1ccc(C(C)(C)C)cc1,inactive,47000.0
CHEMBL2311709,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)C1=NC=NC1)c1ccc(C(C)(C)C)cc1,inactive,6000.0
CHEMBL2311705,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1cccs1)c1ccc(C(C)(C)C)cc1,inactive,50000.0
CHEMBL2311700,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1cnco1)c1ccc(C(C)(C)C)cc1,active,39000.0
CHEMBL2311695,CC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)cc1,inactive,28100.0
CHEMBL2311694,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,inactive,4800.0
CHEMBL1405735,CCC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2cccnc2)cc1,inactive,2200.0
CHEMBL2311693,C=C(Cc1cccc(C)c1)C1=CC=C(c2ccc(C)cc2)C1,inactive,13000.0
CHEMBL2311692,O=C(Oc1cncc(Br)c1)c1cccs1,active,500.0
CHEMBL2311691,CCN(CC)c1ccc(C(=O)On2nnc3ccccc32)cc1,active,11100.0
CHEMBL2397338,CC(C)C[C@@H]1NC(=O)[C@@H](NC(=O)OCc2ccccc2)Cc2cn(nn2)CCCNC(=O)CC[C@@H](C=O)NC1=O,active,15500.0
CHEMBL2402686,COc1ccccc1NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,active,14000.0
CHEMBL2402685,COc1cccc(NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)c1,active,10000.0
CHEMBL2402680,CC(C)C[C@H](NC(=O)COc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,active,24000.0
CHEMBL2402508,COc1ccc(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)cc1,active,43000.0
CHEMBL2402501,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,active,21000.0
CHEMBL18786,CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1,active,323000.0
CHEMBL1929019,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)Cc1c[nH]cn1)C(C)C,active,65.0
